ticket_id,user_id,order_id,issue_type,description,status,priority,created_at,resolved_at
TICKET_1761539505,user_075,ORD_20251222_0136,shipping,배송지 변경 가능한가요?,in_progress,low,2025-10-27T04:31:45.091709Z,
TICKET_1766377905,user_084,ORD_20251021_0190,shipping,언제 배송되나요?,closed,urgent,2025-12-22T04:31:45.091709Z,2025-12-22T04:31:45.091709Z
TICKET_1761453105,user_030,ORD_20251017_0158,shipping,배송지 변경 가능한가요?,in_progress,normal,2025-10-26T04:31:45.091709Z,
TICKET_1761885105,user_093,,product_inquiry,세탁 방법이 궁금합니다.,in_progress,urgent,2025-10-31T04:31:45.091709Z,
TICKET_1762835505,user_021,ORD_20251019_0444,refund,상품 불량으로 환불 요청합니다.,closed,normal,2025-11-11T04:31:45.091709Z,2025-11-13T04:31:45.091709Z
TICKET_1764822705,user_064,ORD_20251014_0344,order_inquiry,주문 상태가 궁금합니다.,closed,low,2025-12-04T04:31:45.091709Z,2025-12-04T04:31:45.091709Z
TICKET_1761971505,user_035,ORD_20251016_0152,product_inquiry,상품 사이즈 정보 알려주세요.,open,low,2025-11-01T04:31:45.091709Z,
TICKET_1765254705,user_015,ORD_20251222_0358,refund,색상이 사진과 달라서 환불해주세요.,closed,high,2025-12-09T04:31:45.091709Z,2025-12-14T04:31:45.091709Z
TICKET_1761798705,user_100,ORD_20251130_0271,exchange,색상 교환하고 싶습니다.,open,low,2025-10-30T04:31:45.091709Z,
TICKET_1765945905,user_057,,order_inquiry,주문 취소하고 싶습니다.,open,low,2025-12-17T04:31:45.091709Z,
TICKET_1761453105,user_022,ORD_20251010_0379,refund,단순 변심으로 환불하고 싶습니다.,closed,urgent,2025-10-26T04:31:45.091709Z,2025-10-30T04:31:45.091709Z
TICKET_1762921905,user_065,ORD_20251020_0482,order_inquiry,주문 내역 확인해주세요.,closed,low,2025-11-12T04:31:45.091709Z,2025-11-14T04:31:45.091709Z
TICKET_1765168305,user_057,,complaint,고객센터 연결이 안 됩니다.,in_progress,high,2025-12-08T04:31:45.091709Z,
TICKET_1764477105,user_022,ORD_20251120_0005,exchange,다른 상품으로 교환 가능한가요?,open,normal,2025-11-30T04:31:45.091709Z,
